cycle,avg,error,childs
0,509.3518903779411,0,2
1,509.3518903779411,0,2
2,509.3518903779411,0,2
3,509.3518903779411,0,2
4,512.9879314099298,7.27208206397745,3
5,512.9879314099298,3.6360410319886114,3
6,512.9879314099298,1.8180205159942489,3
7,512.9879314099298,0.9090102579971244,3
8,512.9879314099298,0.9090102579971244,3
9,696.1231562494361,732.0863942290267,4
10,696.1231562494363,366.04319711451353,4
11,696.1231562494363,366.04319711451353,4
12,696.1231562494363,366.04319711451353,4
13,696.1231562494363,366.04319711451353,4
14,696.1231562494363,366.04319711451353,4
15,696.1231562494361,366.0431971145131,4
16,696.1231562494362,366.0431971145133,4
17,696.1231562494362,366.0431971145133,4
18,696.1231562494362,366.0431971145133,4
19,696.1231562494362,245.9299468293333,4
20,696.1231562494362,245.9299468293334,4
21,696.1231562494362,122.9649734146667,4
22,696.1231562494362,122.96497341466659,4
23,696.1231562494361,122.96497341466647,4
24,696.1231562494363,61.482486707333464,4
25,696.1231562494363,61.482486707333464,4
26,696.1231562494361,61.48248670733335,4
27,696.1231562494361,30.741243353666846,4
28,696.1231562494361,30.741243353666846,4
29,696.1231562494361,30.741243353666846,4
30,696.1231562494361,23.055932515250106,4
31,696.1231562494361,23.055932515250106,4
32,696.1231562494361,15.370621676833366,4
33,696.1231562494361,15.370621676833366,4
34,696.1231562494361,15.370621676833366,4
35,696.1231562494361,8.645974693218704,4
36,696.1231562494361,6.724646983614548,4
37,696.123156249436,6.724646983614662,4
38,696.1231562494361,3.962738401058573,4
39,696.1231562494361,2.761908582555975,5
40,696.1231562494361,2.761908582555975,6
41,696.1231562494361,2.7619085825558614,6
42,1323.91410031549,3765.9576198279315,7
43,1323.91410031549,3765.9576198279315,7
44,1323.91410031549,3765.9576198279315,7
45,1323.91410031549,3765.9576198279315,7
46,1500.2439247142265,4823.936566220349,7
47,1500.2439247142263,4823.936566220349,7
48,1500.2439247142265,3235.372634386139,7
49,1500.2439247142263,3235.372634386138,7
50,1500.2439247142265,3235.372634386139,7
51,1500.2439247142265,1629.8930060391142,7
52,1500.2439247142263,820.1126372951701,7
53,1673.0298259235901,2190.193158124036,7
54,1673.0298259235901,1124.2871649649353,7
55,1673.0298259235901,1079.56407596315,7
56,1673.02982592359,740.0956179674449,7
57,1673.0298259235901,695.3725289656593,7
58,1673.0298259235901,609.8110319241832,7
59,1673.0298259235901,551.4298601183482,7
60,1673.0298259235901,531.0106560985027,7
61,1673.0298259235901,496.72450176286293,7
62,1673.02982592359,489.79102660496574,7
63,1673.0298259235901,489.79102660496574,7
64,1673.02982592359,483.0481621739916,7
65,1673.02982592359,244.8955133024822,7
66,1673.0298259235901,244.8955133024831,7
67,1673.0298259235901,244.8955133024831,7
68,1673.0298259235901,238.1526488715092,7
69,1673.0298259235901,238.1526488715092,7
70,1673.0298259235901,116.61922929673551,7
71,1673.0298259235901,59.223951724835615,7
72,1673.0298259235901,58.76678318660197,7
73,1673.0298259235901,58.7667831866022,7
74,1673.02982592359,57.90009879186459,7
75,1673.02982592359,57.03341439712767,7
76,1673.0298259235901,56.93810903366557,7
77,1673.02982592359,50.24227443139375,7
78,1673.02982592359,50.24227443139375,7
79,1673.0298259235901,50.242274431393525,7
80,1673.02982592359,50.24227443139398,7
81,1673.02982592359,43.16075031348396,7
82,1673.02982592359,27.878529216315428,7
83,1673.02982592359,26.403410837096544,7
84,1673.02982592359,26.40341083709677,7
85,1673.02982592359,20.105256777523437,7
86,1673.02982592359,14.138104879507182,7
87,1673.0298259235901,14.13810487950741,7
88,1673.0298259235901,14.13810487950741,7
89,1673.0298259235901,10.05262838876206,7
90,1673.0298259235901,9.584428658282377,7
91,1673.0298259235901,8.175391224167697,7
92,1673.0298259235901,7.7403813252497,7
93,1673.0298259235901,7.305371426331931,7
