cycle,avg,error,childs
0,NaN,NaN,2
1,508.5103507266956,127.85319917243919,2
2,0,0,2
3,254.2551753633478,508.5103507266956,2
4,0,0,2
5,127.1275876816739,254.2551753633478,3
6,85.00469635322355,338.5009580202485,3
7,84.87821073716974,338.7539292523561,3
8,84.81496792914284,338.88041486840996,3
9,0.06324280802690503,0.2529712321076202,3
10,0.031621404013452516,0.1264856160538101,4
11,278.0279970488606,1667.978253869083,5
12,202.58965039177227,961.0929985632051,5
13,170.79589544484875,1024.6805084570522,5
14,415.623512322279,2493.6462097216336,5
15,415.623512322279,2493.6462097216336,5
16,415.623512322279,1662.494049289116,5
17,389.10439143688245,1560.7350606165528,5
18,324.42802140457565,1429.2140866962236,5
19,285.2008849616137,621.262291417101,5
20,259.223822540146,777.1246659459072,5
21,200.90857510252494,945.6808264004728,5
22,187.92004389179107,997.6349512434081,5
23,187.92004389179107,751.6801755671643,5
24,226.821437623953,681.0753144464295,5
25,207.40758391849386,758.730729268266,5
26,178.2499601996833,875.3612241435083,5
27,178.24996019968333,746.146370300178,5
28,190.41125113606165,721.8237884274213,5
29,160.04486695573763,802.3934785252384,5
30,143.04853417330543,816.5492223529337,5
31,165.52113219317008,771.6040263132046,5
32,110.38881765819283,340.53765722321475,5
33,79.72024336249045,402.40549972413265,5
34,98.85032853288214,353.622488284008,5
35,98.85032853288214,353.622488284008,5
36,98.85032853288214,278.86147535580983,5
37,73.57326115561214,379.96974486488983,5
38,56.71669141842868,278.83032644178905,5
39,78.92026769225951,190.01602134646566,5
40,78.92026769225953,158.5608228482966,5
41,67.33234940150905,153.4502146985314,5
42,61.53839025613381,188.21396957078287,5
43,61.53839025613381,123.07678051226765,5
44,38.58391653234061,159.07900987685315,5
45,57.9171657902743,116.89629454213113,5
46,35.576255530799116,142.30502212319644,5
47,27.14797066220738,108.59188264882953,5
48,27.147970662207378,108.59188264882951,5
49,27.147970662207378,108.59188264882951,5
50,22.70093872085749,91.73531291164605,5
51,22.700938720857486,91.73531291164606,5
52,18.13746202598059,72.54984810392236,5
53,38.254856314780824,107.38465831035428,5
54,38.25485631478082,86.16690459438587,5
55,34.670800482423346,102.8426436061186,5
56,31.086744650065867,114.83935125324567,5
57,26.523267955188963,94.87026004559318,5
58,24.241529607750515,99.4337367404701,5
59,24.241529607750515,99.4337367404701,5
60,22.775081062801533,102.36663383036804,5
61,6.51695292225544,26.06781168902176,5
62,6.51695292225544,26.06781168902176,5
63,6.51695292225544,26.06781168902176,5
64,21.51245496847492,89.15772247482741,5
65,20.514529785074366,93.14942320842962,5
66,11.153278850626553,64.2781012199986,5
67,10.903797554776414,64.7770638116989,5
68,10.903797554776414,45.46428166064743,5
69,10.903797554776414,43.615190219105656,5
70,9.291341564579223,39.62348948550345,5
71,7.064354767585397,28.25741907034159,5
72,7.064354767585398,28.25741907034159,5
73,6.104494070787643,27.028357456748317,5
74,14.985814656836581,40.74604469139123,5
75,7.600170633876212,30.40068253550485,5
76,7.600170633876212,30.40068253550485,5
77,12.520761275299558,30.885831165243147,5
78,11.100648965229382,33.20555675471945,5
79,11.100648965229382,27.004608483774696,5
80,5.114974091253404,20.459896365013616,5
81,4.049889858700772,16.19955943480309,5
82,4.049889858700772,16.19955943480309,5
83,7.575269411965076,24.149931820737827,5
84,7.575269411965076,24.149931820737827,5
85,3.517347742424456,15.77866529178358,5
86,3.5173477424244566,14.069390969697825,5
87,6.615408715167322,23.71618880271446,5
88,5.254133478452369,15.548537382424739,5
89,2.559494998336664,11.362904117947615,5
90,4.854726891245132,15.42484169290816,5
91,4.854726891245133,9.709453782490261,5
92,4.368119611027955,12.60640564194005,5
93,4.368119611027955,8.73623922205591,5
94,3.906148981794923,11.004889634849366,5
95,3.4441783525618903,11.42565753071069,5
96,3.4441783525618903,9.157007117917235,5
97,1.5383595214835726,6.15343808593429,5
98,1.3589613727751493,6.359786749566663,5
99,1.3589613727751493,5.435845491100597,5
100,1.127976058158633,4.511904232634532,5
101,2.2602836224062153,6.8025083976633915,6
102,1.127976058158633,4.511904232634532,6
103,1.012483400850375,4.919973832019668,7
104,481.04378559609444,4794.651484131203,8
105,481.0437855960945,3833.7188395120966,8
106,481.0437855960945,2876.116222037618,8
107,420.9722867488872,2636.773816285662,8
108,300.5443673076075,1798.7812501279343,8
109,368.18935769460046,1488.2781600011162,8
110,382.8995767508944,1576.5394743388797,8
111,382.8995767508944,1531.598307003578,8
112,349.14439735026,1554.7835136914086,8
113,349.14439735026,1476.7705315165147,8
114,324.8849668229034,1561.1589124997126,8
115,324.8849668229033,1561.158912499713,8
116,291.12978742226886,1400.8045405302926,8
117,291.12978742226886,1358.6278360959063,8
118,291.12978742226886,1358.6278360959063,8
119,291.12978742226886,1358.6278360959059,8
120,269.95712894763614,1432.7436075492585,8
121,269.95712894763614,1432.7436075492585,8
122,269.95712894763614,1256.2860616699015,8
123,269.95712894763614,1185.0187522063677,8
124,269.95712894763614,1132.423633998456,8
125,269.95712894763614,1132.4236339984561,8
126,243.22644570408204,1031.6677423276265,8
127,243.22644570408204,972.905782816328,8
128,317.31500248417194,1269.215736833642,8
129,309.1103495552802,1334.8529602647761,8
130,309.11034955528015,1236.0685107820516,8
131,309.11034955528015,1203.14600406576,8
132,309.11034955528015,976.1341312997597,8
133,309.1103495552802,976.1341312997599,8
134,197.42972877608508,843.6433357817375,8
135,288.60305766100026,1085.7108271736981,8
136,277.8347555334258,1171.8572441942938,8
137,277.8347555334258,1171.857244194294,8
138,277.8347555334258,1087.7624124180948,8
139,262.60603241819575,1179.1347511094748,8
140,262.60603241819575,1169.4092708668888,8
141,229.8163823400443,962.9458901553941,8
142,229.8163823400443,907.0920702416771,8
143,229.8163823400443,842.0904336713423,8
144,149.63708059524853,736.3060472763275,8
145,142.85173598143663,790.5888041868225,8
146,142.85173598143666,748.5449020676297,8
147,142.85173598143663,748.5449020676297,8
148,219.63836541932648,639.9085673883174,8
149,219.63836541932648,639.9085673883176,8
150,219.63836541932648,639.9085673883176,8
151,219.63836541932648,586.8291940765303,8
152,219.63836541932648,586.8291940765303,8
153,204.25223716462523,640.3745583487106,8
154,149.6841775510648,775.0160392687787,8
155,149.6841775510648,775.016039268779,8
156,189.15147933481578,672.859037407464,8
157,176.16215251115545,739.4181523092478,8
158,127.81940180474142,691.6369592217561,8
159,127.81940180474143,691.6369592217561,8
160,161.23132592161716,683.5373307814257,8
161,161.23132592161716,636.4697003135277,8
162,161.23132592161716,636.4697003135277,8
163,161.23132592161716,579.6227161921431,8
164,152.71931399079364,647.7188116387315,8
165,105.01101763006909,538.4368225392884,8
166,105.01101763006909,538.4368225392884,8
167,105.01101763006909,538.4368225392884,8
168,105.01101763006909,479.2404465297824,8
169,137.4712602284106,491.5754712978729,8
170,101.43839690169696,533.2175517848657,8
171,101.43839690169696,533.2175517848657,8
172,129.62207387277036,480.42625300173427,8
173,129.62207387277036,363.52692725597933,8
174,129.62207387277036,330.0609310687445,8
175,129.62207387277036,321.99074670369237,8
176,129.62207387277036,321.99074670369237,8
177,129.62207387277036,290.6174472246165,8
178,119.96265416343863,337.35436136485896,8
179,94.7598617196248,491.28381264309473,8
180,109.77611286886464,361.82909380080457,8
181,102.65514886053761,424.7201113553393,8
182,77.99581414343133,434.45802254056434,8
183,94.27312507244088,408.6848816857781,8
184,85.89110128434416,379.29851334014506,8
185,74.4541205042516,270.30980161657885,8
