cycle,avg,error,childs
0,425.86829378903946,0,2
1,425.86829378903946,0,2
2,425.86829378903946,0,2
3,425.86829378903946,0,3
4,641.054942289094,430.3732970001092,4
5,1116.363666408226,2116.421544976583,4
6,1116.363666408226,2116.421544976583,4
7,1116.363666408226,1058.2107724882915,4
8,1116.363666408226,1058.2107724882915,4
9,1116.363666408226,1058.2107724882915,4
10,1116.363666408226,1058.2107724882915,4
11,1116.363666408226,661.3817328051821,4
12,1116.363666408226,396.8290396831094,4
13,1116.363666408226,396.8290396831096,4
14,1116.363666408226,396.8290396831096,4
15,1116.363666408226,214.94906316168453,4
16,1116.363666408226,181.8799765214253,4
17,1116.363666408226,181.8799765214253,4
18,1116.363666408226,181.8799765214253,4
19,1116.363666408226,144.6772540511338,4
20,1116.363666408226,72.3386270255669,4
21,1116.363666408226,72.3386270255669,4
22,1116.363666408226,0,4
23,1116.363666408226,0,5
24,1752.6315251829965,3817.607152648623,6
25,1668.807577578347,4152.902943067222,6
26,1668.8075775783473,3048.015120726979,6
27,1668.8075775783473,3048.015120726979,6
28,1668.807577578347,1943.1272983867375,6
29,1668.807577578347,1943.1272983867375,6
30,1668.807577578347,1943.1272983867375,6
31,1668.807577578347,1943.1272983867375,6
32,1668.807577578347,1457.3454737900536,6
33,1668.807577578347,1214.4545614917108,6
34,1668.8075775783466,1214.4545614917117,6
35,1668.8075775783466,728.6727368950269,6
36,1668.8075775783466,485.78182459668506,6
37,1668.8075775783466,485.7818245966848,6
38,1668.8075775783466,485.7818245966848,6
39,1668.8075775783466,485.7818245966848,6
40,1668.8075775783466,455.42046055939136,6
41,1668.8075775783466,288.4329583542808,6
42,1668.8075775783466,250.48125330766538,6
43,1668.8075775783466,250.4812533076656,6
44,1668.8075775783466,250.4812533076656,6
45,1668.8075775783466,185.96335472841793,6
46,1668.8075775783466,182.16818422375673,6
47,1668.807577578347,178.37301371909462,6
48,1668.807577578347,119.54787089684032,6
49,1668.807577578347,119.54787089684032,6
