cycle,avg,error,childs
0,741.5686594416325,0,2
1,741.5686594416325,0,2
2,741.5686594416325,0,2
3,1095.8692829900963,708.6012470969279,3
4,1095.8692829900963,354.3006235484638,3
5,1095.8692829900965,177.1503117742318,3
6,1095.8692829900965,177.1503117742318,3
7,1095.8692829900965,177.1503117742318,3
8,1095.8692829900965,88.5751558871159,3
9,1095.8692829900965,44.28757794355806,3
10,1095.8692829900965,22.14378897177903,3
11,1095.8692829900965,22.14378897177903,3
12,1095.8692829900965,11.071894485889288,3
13,1095.8692829900965,5.5359472429445304,3
14,1095.8692829900965,2.7679736214722652,3
15,1095.8692829900965,1.3839868107361326,4
16,1563.8888730782433,1871.3863669472191,4
17,1563.8888730782433,936.7311735816618,4
18,1563.8888730782433,936.7311735816618,4
19,1563.8888730782433,936.2121785276358,4
20,1563.8888730782433,468.1060892638179,4
21,1563.8888730782433,467.58709420979176,4
22,1563.8888730782433,233.79354710489588,4
23,1563.8888730782433,233.79354710489588,4
24,1563.8888730782433,233.79354710489588,4
25,1563.8888730782433,116.89677355244794,4
26,1563.888873078243,116.89677355244817,4
27,1563.888873078243,116.89677355244817,4
28,1563.888873078243,116.89677355244817,4
29,1563.8888730782433,87.67258016433584,4
30,1563.8888730782433,87.67258016433584,4
31,1563.8888730782433,58.44838677622397,4
32,1563.8888730782433,14.612096694056163,4
33,1563.8888730782433,7.3060483470280815,4
34,1563.8888730782433,7.3060483470280815,4
35,1563.8888730782433,7.3060483470280815,4
36,1563.8888730782433,7.3060483470280815,4
37,1563.8888730782433,3.6530241735140407,4
38,1563.8888730782433,3.653024173514268,4
39,1976.3044016648462,2472.666659432861,5
40,1976.3044016648462,1646.0090901728977,5
41,1976.3044016648462,1646.0090901728977,5
42,1976.3044016648462,1441.171209944664,5
43,1976.3044016648462,1236.3333297164302,5
44,1976.3044016648462,1236.3333297164304,5
45,1976.3044016648462,799.4546361555213,5
46,1976.3044016648462,489.4580476830349,5
47,1976.3044016648462,444.5926828803979,5
48,1976.3044016648462,440.7356882206536,5
49,1976.3044016648462,436.8786935609089,5
50,1976.3044016648462,37.151375483148286,5
51,1976.3044016648462,37.151375483148286,5
52,1976.3044016648462,18.5756877415738,5
53,1976.3044016648462,10.252092535722795,5
54,1976.3044016648462,5.126046267861284,5
55,1976.3044016648462,3.5272717988668774,5
56,1976.3044016648462,2.563023133930983,5
57,1976.3044016648462,2.563023133930983,5
58,2325.6091412944584,2794.0382234196504,6
59,2325.609141294459,2095.0290505431776,6
60,2325.609141294459,2095.029050543177,6
61,2325.609141294459,1746.0240811265016,6
62,2325.609141294459,1746.0240811265016,6
63,2325.609141294459,1746.0240811265016,6
64,2325.609141294459,1746.024081126502,6
65,2325.609141294459,1746.024081126502,6
66,2325.609141294459,1746.0240811265019,6
67,2325.609141294459,1746.0240811265019,6
