cycle,avg,error,childs
0,257.1825078801906,0,2
1,257.1825078801906,0,2
2,237.19385992018397,39.97729592001332,3
3,237.19385992018397,19.98864796000663,3
4,237.19385992018397,9.994323980003344,3
5,237.19385992018397,4.9971619900016435,3
6,237.19385992018397,2.49858099500085,3
7,237.19385992018397,2.49858099500085,3
8,237.19385992018397,1.249290497500425,3
9,237.19385992018397,1.249290497500425,4
10,954.5066938319915,2869.8759808959803,5
11,954.5066938319916,1435.8749583211156,5
12,954.5066938319916,1435.4064743845531,5
13,954.5066938319917,1435.4064743845533,5
14,954.5066938319917,717.7032371922766,5
15,954.5066938319917,717.7032371922768,5
16,954.5066938319917,358.8516185961382,5
17,863.4815780574993,725.5765039450246,5
18,863.4815780574993,543.5262723960398,5
19,863.4815780574991,543.5262723960395,5
20,863.4815780574993,316.9476413039016,5
21,863.4815780574993,226.5786310921377,5
22,863.4815780574993,226.5786310921377,5
23,863.4815780574993,226.5786310921378,5
24,863.4815780574993,226.57863109213793,5
25,863.4815780574993,162.24100396749122,5
26,863.4815780574993,162.24100396749122,5
27,863.4815780574993,162.24100396749122,5
28,863.4815780574993,113.28931554606902,5
29,863.4815780574993,97.20490876490726,5
30,863.4815780574993,81.1205019837455,5
31,863.4815780574993,81.1205019837455,5
32,863.4815780574991,64.6868611636155,5
33,863.4815780574993,32.43073909154987,5
34,863.4815780574993,32.43073909154975,5
35,863.4815780574993,32.43073909154987,5
36,863.4815780574993,32.25612207206564,5
37,863.4815780574993,24.137523735460263,5
38,863.4815780574993,16.018925398854776,5
39,863.4815780574993,8.009462699427218,5
40,863.4815780574991,8.0094626994279,5
41,863.4815780574993,8.009462699427218,5
42,863.4815780574993,8.009462699427218,5
43,863.4815780574993,8.009462699427218,5
44,863.4815780574993,8.009462699427218,5
45,863.4815780574993,8.009462699427218,5
46,863.4815780574993,8.009462699427218,5
47,863.4815780574993,6.007097024570385,5
48,863.4815780574993,4.004731349713666,5
49,863.4815780574993,2.0023656748569465,6
50,863.4815780574993,1.5017742561425393,6
51,863.4815780574993,1.0011828374281322,7
52,863.4815780574993,1.0011828374281322,7
53,863.4815780574993,0.500591418713725,8
54,1672.8096367343294,8093.280586768302,8
55,1672.8096367343294,6474.74961726932,8
56,1672.8096367343294,6474.74961726932,8
57,1672.8096367343292,4855.905778133642,8
58,1672.8096367343294,3642.0075510094057,8
59,1672.8096367343294,2428.109323885169,8
60,1672.8096367343294,2428.109323885169,8
61,1672.8096367343294,2428.109323885169,8
62,1672.8096367343294,2225.792952697796,8
63,1672.8096367343294,2225.792952697796,8
64,2002.2711683316668,5014.539123293564,8
65,2002.2711683316668,5014.539123293564,8
66,2002.2711683316668,5014.539123293564,8
67,2002.2711683316668,4459.407524545655,8
68,2002.2711683316668,4459.407524545655,8
69,2002.2711683316666,4306.353606728584,8
70,2002.2711683316666,4306.353606728585,8
71,2002.2711683316666,3445.114172346538,8
72,2002.2711683316668,3356.571428423622,8
73,2002.2711683316668,3356.571428423622,8
74,2002.2711683316668,3356.571428423622,8
75,2002.2711683316668,3356.571428423622,8
76,2002.2711683316668,2880.6401156861675,8
77,2002.2711683316668,2599.4433109409556,8
78,2002.2711683316668,2599.4433109409556,8
79,2002.2711683316668,2599.4433109409556,8
80,2002.2711683316668,2318.246506195743,8
81,2002.2711683316668,2318.246506195743,8
82,2002.2711683316668,2318.246506195743,8
83,2002.2711683316668,2272.4343532091198,8
84,2002.2711683316668,2272.4343532091198,8
85,2002.2711683316668,2272.4343532091198,8
86,2002.2711683316668,2251.0690577409737,8
87,2002.2711683316666,2251.0690577409723,8
88,2002.2711683316666,1934.1494075268904,8
89,2002.2711683316668,1912.7841120587448,8
90,2002.2711683316668,1912.7841120587448,8
91,2002.2711683316668,1636.74180370816,8
92,2002.2711683316668,1636.7418037081602,8
93,2002.2711683316668,1261.2689942215347,8
94,2002.2711683316666,1261.2689942215347,8
95,2002.2711683316666,1261.2689942215347,8
96,2002.2711683316666,958.3805583081557,8
97,2002.2711683316666,723.2155918210685,8
98,2002.2711683316666,723.2155918210685,8
99,2002.2711683316666,723.2155918210685,8
100,2002.2711683316668,689.3538571079232,8
101,2002.2711683316668,689.3538571079234,8
102,2002.2711683316666,689.353857107923,8
103,2002.2711683316666,689.353857107923,8
104,2002.2711683316668,454.4157542323751,8
105,2002.2711683316668,356.9449640595385,8
106,2002.2711683316668,315.2784101683235,8
107,2002.2711683316668,315.27841016832326,8
108,2002.2711683316668,285.8425950733299,8
109,2002.2711683316668,210.15855364319304,8
110,2002.2711683316668,168.53257945551127,8
111,2002.2711683316666,168.53257945551172,8
112,2002.2711683316666,168.53257945551172,8
113,2002.2711683316668,145.91262310788102,8
114,2002.2711683316668,136.40961418785514,8
115,2002.2711683316668,116.5851192034263,8
116,2002.2711683316668,116.5851192034263,8
117,2002.2711683316668,111.77945914814404,8
118,2002.2711683316668,102.27645022811839,8
119,2002.271168331667,102.27645022811748,8
120,2002.2711683316666,94.60291309357899,8
121,2002.2711683316666,89.79725303829696,8
122,2002.2711683316666,81.95959623379008,8
123,2002.2711683316666,81.95959623378985,8
124,2002.2711683316666,81.95959623378985,8
125,2002.2711683316666,81.95959623378985,8
126,2002.2711683316666,65.53366640200056,8
127,2002.2711683316666,51.29731805832125,8
128,2002.2711683316666,37.14302954962477,8
129,2002.2711683316666,22.98874104092829,8
130,2002.2711683316666,22.98874104092829,8
131,2002.2711683316666,22.947711123437102,8
132,2002.2711683316666,21.833147077535386,8
133,2002.2711683316666,21.83314707753516,8
134,2002.2711683316666,11.990849324076635,8
135,2002.2711683316666,10.896058580021645,8
136,2002.2711683316666,9.781494534119929,8
137,2002.2711683316666,7.593396359807684,8
138,2566.63780660131,7901.6598161882885,9
139,2566.63780660131,7901.6598161882885,9
140,2566.63780660131,7901.6598161882885,9
141,2566.63780660131,6771.301888245063,9
142,2566.63780660131,6771.301888245063,9
143,2566.63780660131,6771.301888245063,9
144,2566.6378066013094,6771.301888245062,9
145,2566.63780660131,5643.554516477792,9
146,2566.63780660131,5643.554516477792,9
147,2566.63780660131,5502.310207323698,9
148,2566.63780660131,5502.310207323698,9
149,2566.63780660131,4374.819005897683,9
150,2566.63780660131,3244.534720139067,9
151,2566.6378066013103,3244.5347201390664,9
152,2566.6378066013103,3104.558867980645,9
153,2566.63780660131,2609.4046511805477,9
154,2566.63780660131,2114.2504343804508,9
155,2566.63780660131,2114.2504343804503,9
156,2566.63780660131,2114.2504343804503,9
157,2566.6378066013103,2114.2504343804494,9
158,2566.63780660131,1337.793603136371,9
159,2566.63780660131,1320.7722929899464,9
160,2566.63780660131,1179.555729190915,9
161,2566.63780660131,1039.5798770324932,9
162,2566.6378066013103,1039.5798770324936,9
163,2566.6378066013103,1039.5798770324936,9
164,2566.6378066013103,1039.579877032494,9
165,2566.6378066013103,819.2443762607354,9
166,2566.6378066013103,519.7899385162482,9
167,2566.6378066013103,501.8862575438643,9
168,2566.6378066013103,501.88625754386476,9
169,2566.6378066013103,325.868773790085,9
170,2566.6378066013103,323.59979587752196,9
171,2566.6378066013103,323.5997958775215,9
172,2566.6378066013103,290.95954538319256,9
173,2566.6378066013103,114.94206162941282,9
174,2566.6378066013103,114.94206162941327,9
175,2566.637806601311,114.94206162941282,9
176,2566.637806601311,107.12471009950104,9
177,2566.637806601311,107.12471009950104,9
178,2566.637806601311,107.12471009950104,9
179,2566.637806601311,107.12471009950104,9
180,2566.6378066013103,107.12471009950286,9
181,2566.6378066013103,107.12471009950286,9
182,2566.6378066013103,96.94925039985173,9
183,2566.6378066013103,93.52632517646498,9
184,2566.6378066013103,87.30410637035857,9
185,2566.6378066013103,87.30410637035857,9
186,2566.63780660131,87.30410637035902,9
187,2566.63780660131,87.30410637035948,9
188,2566.63780660131,76.58368475686075,9
189,2566.6378066013103,61.16689801210168,9
190,2566.63780660131,56.21413170386222,9
191,2566.63780660131,56.21413170386222,9
192,2566.63780660131,53.86594913823228,9
193,2566.63780660131,33.81648230408291,9
194,2566.6378066013103,20.84695928688825,9
195,2566.6378066013103,18.21053302334485,9
196,2566.6378066013103,17.758760200877077,9
197,2566.6378066013103,14.21878829239904,9
198,2566.6378066013103,12.916496421095417,9
199,2566.6378066013103,12.916496421095871,9
200,2566.63780660131,12.491236896677492,9
201,2566.637806601311,7.776461342321909,9
202,2566.63780660131,7.77646134231918,10
203,2566.63780660131,7.253515995156249,10
204,2566.63780660131,7.253515995156704,10
205,2566.63780660131,6.643252340644267,10
206,2566.63780660131,6.643252340644267,11
207,2566.63780660131,6.313699057701797,12
208,2566.63780660131,5.1759518818203105,12
209,2566.6378066013103,5.1759518818203105,12
210,3558.895912920164,17860.645913739365,13
211,4086.95421270447,27365.695309856877,13
212,4086.9542127044697,27365.695309856877,13
213,4086.95421270447,27365.695309856877,13
214,4086.9542127044697,24327.03374688279,13
215,4086.9542127044697,21909.261349719294,13
216,4550.687063897952,30256.452671201972,13
217,4550.687063897953,26288.783216511896,13
218,4550.687063897953,22321.109961443035,13
219,4550.687063897953,21081.014662612775,13
220,4550.687063897952,18655.711903201736,13
221,4550.687063897952,18655.71190320174,13
222,4550.687063897953,18063.10817291135,13
223,4550.687063897952,15693.675531007364,13
224,4550.687063897953,14922.479701889471,13
225,4550.687063897953,13406.9523766076,13
226,4550.687063897952,13406.952376607602,13
227,4550.687063897952,13406.952376607602,13
228,4550.687063897952,11378.350148852045,13
229,4550.687063897952,11292.227904689415,13
230,4550.687063897952,11292.227904689415,13
231,4550.687063897952,11292.227904689415,13
232,4550.687063897952,11292.227904689415,13
233,4550.687063897952,8633.33900220766,13
234,4550.687063897952,8432.767662905717,13
235,4550.687063897952,8432.767662905717,13
236,4550.687063897953,8432.767662905717,13
237,4550.687063897953,8432.767662905717,13
238,4550.687063897952,7778.756693394627,13
239,4550.687063897953,6538.661394564369,13
240,4550.687063897952,5993.067630306142,13
241,4550.687063897952,5993.067630306142,13
242,4550.687063897952,5993.067630306142,13
243,4550.687063897952,5993.067630306141,13
244,4550.687063897952,5790.835408906036,13
245,4550.687063897952,5790.835408906036,13
246,4550.687063897952,5245.2416446478055,13
247,4550.687063897952,5194.837780676525,13
248,4550.687063897952,5194.837780676526,13
249,4550.687063897952,4792.475591057114,13
250,4550.687063897952,4792.475591057114,13
251,4550.687063897952,4191.0352387269695,13
252,4550.687063897952,4140.631374755688,13
253,4550.687063897952,4140.631374755688,13
254,4550.687063897952,4140.631374755689,13
255,4550.687063897952,3532.4657531443218,13
256,4550.687063897952,3532.4657531443218,13
257,4550.687063897952,2509.0924847355527,13
258,4550.687063897952,2509.0924847355527,13
259,4550.687063897952,2509.092484735552,13
260,4550.687063897953,2301.4886613368562,13
261,4550.687063897953,2296.670838132871,13
262,4550.687063897953,2296.670838132871,13
263,4550.687063897953,1998.3595735697918,13
264,4550.687063897952,1998.3595735697882,13
265,4550.687063897952,1842.7048007639578,13
266,4550.687063897952,1842.7048007639578,13
267,4550.687063897952,1842.7048007639578,13
268,4550.687063897952,1715.8608553239774,13
269,4550.687063897952,1715.8608553239774,13
270,4550.687063897952,1689.8863300275434,13
271,4550.687063897952,1689.8863300275443,13
272,4550.687063897952,1579.2151863033087,13
273,4550.687063897952,1468.544042579073,13
274,4550.687063897952,1425.0239123803003,13
275,4550.687063897952,1425.0239123803003,13
276,4550.687063897952,1425.0239123802994,13
277,4550.687063897952,1425.0239123802985,13
278,4550.687063897952,1399.0493870838645,13
279,4550.687063897952,1399.0493870838645,13
280,4550.687063897952,1399.0493870838645,13
281,4550.687063897952,1399.0493870838645,13
282,4550.687063897952,1399.0493870838654,13
283,4550.687063897952,1274.3904194946517,13
284,4550.687063897952,1274.3904194946517,13
285,4550.687063897953,1274.3904194946572,13
286,4550.687063897953,1261.8843344709949,13
287,4550.687063897952,1167.2600747074648,13
288,4550.687063897952,1100.199123299214,13
289,4550.687063897952,1100.1991232992132,13
290,4550.687063897952,1100.1991232992132,13
291,4550.687063897952,1067.3042995201713,13
292,4550.687063897952,1053.522645342532,13
293,4550.687063897952,1053.522645342533,13
294,4550.687063897952,1053.522645342534,13
295,4550.687063897952,1033.875720571913,13
296,4550.687063897951,1033.875720571912,13
297,4550.687063897951,1010.3754815205684,13
