cycle,avg,error,childs
0,175.3381839029201,0,2
1,175.3381839029201,0,2
2,532.0717555359294,713.4671432660185,3
3,532.0717555359294,356.7335716330093,3
4,532.0717555359294,356.7335716330093,3
5,532.0717555359294,178.3667858165046,3
6,532.0717555359294,89.18339290825236,3
7,532.0717555359294,44.59169645412618,3
8,532.0717555359294,44.59169645412618,3
9,532.0717555359294,22.295848227063175,3
10,532.0717555359294,22.295848227063175,3
11,532.0717555359294,11.147924113531644,3
12,532.0717555359294,5.573962056765936,3
13,532.0717555359292,2.7869810283830247,3
14,532.0717555359292,2.7869810283830247,3
15,532.0717555359292,1.3934905141915124,4
16,532.0717555359294,0.696745257095813,5
17,532.0717555359294,0.34837262854796336,5
18,1345.788774743049,4882.302115242718,6
19,1345.788774743049,3254.693890514204,6
20,1336.5565953607977,3217.7651729851996,6
21,1336.5565953607977,3217.7651729851996,6
22,1336.5565953607977,3217.7651729851996,6
23,1336.5565953607977,3217.7651729851996,6
24,1336.5565953607977,3217.7651729851996,6
25,1336.5565953607977,3217.7651729851996,6
26,1336.5565953607977,3217.7651729851987,6
27,1336.5565953607977,2318.522500230056,6
28,1336.5565953607975,1703.6839660014434,6
29,1336.5565953607975,1703.6839660014434,6
30,1336.5565953607975,1206.7925796051554,6
31,1336.5565953607975,1206.7925796051552,6
32,1336.5565953607975,1206.7925796051552,6
33,1336.5565953607977,1005.616936425728,6
34,1336.5565953607975,579.6959449253666,6
35,1336.5565953607977,579.6959449253666,6
36,1336.5565953607977,390.43579405239734,6
37,1336.5565953607975,390.4357940523969,6
38,1336.5565953607975,363.7994021166612,6
39,1336.5565953607975,363.7994021166612,6
40,1336.5565953607975,363.7994021166612,6
41,1336.5565953607975,363.79940211666144,6
42,1336.5565953607975,363.79940211666144,6
43,1336.5565953607975,363.79940211666144,6
44,1336.5565953607975,363.79940211666144,6
45,1336.5565953607975,363.79940211666144,6
46,1336.5565953607975,363.79940211666144,6
47,1336.5565953607975,257.69124316596844,6
48,1336.5565953607975,144.92398623134181,6
49,1336.5565953607975,144.92398623134204,6
50,1336.5565953607975,128.84562158298445,6
51,1336.5565953607975,128.84562158298445,6
52,1336.5565953607975,60.403219629402656,6
53,1336.5565953607975,60.403219629402884,6
54,1336.5565953607975,43.29261914100766,6
55,1336.5565953607975,27.21425449265007,6
56,1336.5565953607975,27.21425449265007,6
57,1336.5565953607975,24.6883409915863,6
58,1336.5565953607972,24.688340991585846,6
59,1336.5565953607972,21.90436853051324,6
60,1336.5565953607972,17.124269513152967,6
61,1336.5565953607975,4.909128497364918,6
62,1336.5565953607975,4.876871127363756,7
63,1336.5565953607975,4.876871127363756,8
64,1336.5565953607977,4.8607424423628345,9
65,1887.891442909148,5515.746589334686,9
66,1887.891442909148,5515.746589334685,9
67,1887.891442909148,5515.746589334685,9
68,1887.891442909148,4414.259822478574,9
69,1725.0981709856242,5391.019454019721,9
