cycle,avg,error,childs
0,644.2296400958534,0,2
1,983.7151066575235,678.9709331233403,3
2,983.7151066575235,678.9709331233403,3
3,983.7151066575235,339.48546656167,3
4,983.7151066575235,169.74273328083507,3
5,983.7151066575235,84.87136664041748,3
6,983.7151066575235,42.43568332020868,3
7,983.7151066575235,42.43568332020868,3
8,983.7151066575235,42.43568332020868,3
9,983.7151066575235,21.217841660104227,3
10,983.7151066575235,10.60892083005217,3
11,983.7151066575235,10.60892083005217,3
12,983.7151066575235,10.60892083005217,3
13,983.7151066575235,5.304460415026028,3
14,983.7151066575235,2.652230207513071,3
15,1344.6940973113933,1441.263732407966,4
16,1344.6940973113933,720.631866203983,4
17,1344.6940973113933,720.631866203983,4
18,1344.6940973113933,720.631866203983,4
19,1344.6940973113933,360.3159331019915,4
20,1344.6940973113933,360.3159331019915,4
21,1344.6940973113933,360.31593310199173,4
22,1344.6940973113933,360.31593310199196,4
23,1344.6940973113933,225.1974581887448,4
24,1344.6940973113933,135.1184749132467,4
25,1344.6940973113933,135.1184749132467,4
26,1344.6940973113933,135.1184749132467,4
27,1344.6940973113933,22.519745818874526,4
28,1344.6940973113933,22.519745818874526,4
29,1344.6940973113933,22.519745818874526,4
30,1344.6940973113933,11.259872909437263,4
31,1344.6940973113933,11.259872909437036,4
32,1344.6940973113933,11.259872909437036,4
33,1344.6940973113933,11.259872909437036,4
34,1344.6940973113933,5.629936454718518,4
35,1344.6940973113933,5.629936454718518,4
36,1344.6940973113933,5.629936454718745,4
37,1344.6940973113933,5.629936454718518,4
38,1344.6940973113933,3.5187102841991873,4
39,1344.6940973113933,1.7593551420995936,5
40,1154.4428333686585,1141.6835191706189,6
41,1154.4428333686585,762.588475398829,6
42,1154.4428333686585,762.588475398829,6
43,1154.4428333686585,762.5884753988292,6
44,1154.4428333686585,381.29423769941445,6
45,1261.9689422480315,930.5775330688912,6
46,1261.9689422480312,620.7515543671982,6
47,1261.9689422480312,310.9255756655052,6
48,1261.9689422480312,310.9255756655052,6
49,1261.9689422480312,310.9255756655052,6
50,1261.9689422480312,310.9255756655052,6
51,1261.9689422480312,274.75468673429623,6
52,1261.9689422480312,137.37734336714811,6
53,1261.9689422480312,137.37734336714834,6
54,1261.9689422480312,112.07572975816333,6
55,1261.9689422480312,112.07572975816333,6
56,1261.9689422480312,112.07572975816333,6
57,1261.9689422480315,112.0757297581631,6
58,1261.9689422480312,81.33947848806656,6
59,1261.9689422480312,81.33947848806656,6
60,1261.9689422480312,81.33947848806656,6
61,1261.9689422480312,68.68867168357451,6
62,1261.9689422480312,68.68867168357451,6
63,1261.9689422480312,56.03786487908201,6
64,1261.9689422480312,28.018932439541004,6
65,1261.9689422480312,21.693529037294866,6
66,1261.9689422480312,14.009466219770275,6
67,1261.9689422480312,14.009466219770275,6
68,1261.9689422480315,14.00946621977073,6
69,1261.9689422480312,10.507099664828047,6
70,1261.9689422480312,10.507099664828047,6
71,1261.9689422480315,8.416251533537434,6
72,1261.9689422480315,8.416251533537206,6
73,1261.9689422480315,7.710492321710717,6
74,1261.9689422480315,7.7104923217109445,6
75,1261.9689422480315,5.959309044240172,6
76,1261.9689422480315,5.959309044240172,6
77,1261.9689422480315,4.119905865290093,7
78,1261.9689422480312,4.119905865289866,7
79,1261.9689422480312,4.119905865289866,8
80,1261.9689422480312,3.9434660623333,8
81,1191.6914670601775,701.3731445189571,9
82,1191.6914670601775,562.7899271744161,9
83,1191.6914670601775,562.7899271744161,9
84,1518.6588455575745,3817.556864511297,9
85,1518.6588455575745,3817.556864511297,9
86,1518.6588455575743,3057.5704300590332,9
87,1776.9446723429694,5640.428697912985,9
88,1776.9446723429699,5582.604352582082,9
